TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-09-05,2025-09-05,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5156.15,5185.75,5071.0,5123.9,5123.9,5162.65,,5118.7,,,26376,135076979.0,3229,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,699.3,711.45,699.3,708.9,708.5,698.1,,707.4,,,6735,4748286.0,636,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1005.15,1032.95,1001.25,1017.8,1020.0,1001.8,,1018.25,,,79976,81387788.0,4248,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,32.21,32.9,32.21,32.39,32.5,32.56,,32.39,,,25814,837833.0,148,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,50.29,50.76,49.31,50.24,50.2,49.68,,50.24,,,32290,1618044.0,257,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,5.2,5.3,5.16,5.18,5.26,5.2,,5.18,,,9192,48104.0,48,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.38,5.51,5.25,5.29,5.38,5.38,,5.29,,,7849,41723.0,53,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.95,9.47,8.88,9.06,9.05,8.95,,9.06,,,5611,51529.0,19,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,175.75,178.05,174.45,177.25,177.1,176.5,,177.23,,,46354,8187184.0,838,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,337.95,341.9,329.9,329.9,329.9,330.85,,329.35,,,87,29216.0,6,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6400.0,6527.7,6269.45,6292.75,6292.75,6399.7,,6299.0,,,978,6176527.0,281,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,38.32,39.35,37.81,38.12,38.12,39.05,,38.12,,,10978,420839.0,125,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,565.2,574.9,565.2,569.65,574.9,572.25,,568.9,,,1249,710996.0,193,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,21.18,21.5,20.82,21.15,21.15,21.25,,21.15,,,1600419,33827332.0,3860,F1,1,,,,,
2025-09-05,2025-09-05,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,18250.05,18779.9,17650.0,17716.95,17716.95,18096.1,,17724.0,,,19771,358280830.0,6701,F1,1,,,,,
